Status,Course Name,Course Short Name,Category,Number of Seats,Instructor Name,Start Date,Start Time,End Time,Building,Room Number/Name,Address,Map Name,Description
,Oncologist 200,ONC1001,Beacon,10,"CT2, CT1",06/26/2015,01:00 PM,05:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,24,#VALUE!,06/26/2015,08:00 AM,12:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,24,#VALUE!,06/26/2015,01:00 PM,05:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,12,CT5,06/26/2015,08:00 AM,05:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,12,#VALUE!,06/26/2015,08:00 AM,12:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,12,#VALUE!,06/26/2015,01:00 PM,05:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,24,#VALUE!,06/26/2015,08:00 AM,12:00 PM,SLN, Training Room B," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,24,#VALUE!,06/26/2015,01:00 PM,05:00 PM,SLN, Training Room B," 5800 NW Barry Road, Kansas City MO 64154",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,20,CT6,06/26/2015,08:00 AM,05:00 PM,SLN, Training Room C," 5800 NW Barry Road, Kansas City MO 64154",,
,PB Charge Review,RPB1001,Resolute PB,8,#VALUE!,06/26/2015,07:00 AM,10:00 AM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Review,RPB1001,Resolute PB,8,#VALUE!,06/26/2015,10:00 AM,01:00 PM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Claims 100,RPB1006,Resolute PB,8,#VALUE!,06/26/2015,01:00 PM,04:00 PM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,24,CT3,06/26/2015,08:00 AM,05:00 PM,SLH, Plaza B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,24,#VALUE!,06/27/2015,08:00 AM,12:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,24,#VALUE!,06/27/2015,01:00 PM,05:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,24,#VALUE!,06/27/2015,08:00 AM,12:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,24,#VALUE!,06/27/2015,01:00 PM,05:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,12,#VALUE!,06/27/2015,08:00 AM,12:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,12,#VALUE!,06/27/2015,01:00 PM,05:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,24,#VALUE!,06/29/2015,08:00 AM,12:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,24,#VALUE!,06/29/2015,01:00 PM,05:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,12,CT4,06/29/2015,08:00 AM,05:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,12,CT5,06/29/2015,08:00 AM,05:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,24,#VALUE!,06/29/2015,08:00 AM,12:00 PM,SLN, Training Room B," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,24,#VALUE!,06/29/2015,01:00 PM,05:00 PM,SLN, Training Room B," 5800 NW Barry Road, Kansas City MO 64154",,
,PB Manual Charge Entry 100,RPB1000,Resolute PB,8,#VALUE!,06/29/2015,08:00 AM,10:30 AM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Manual Charge Entry 100,RPB1000,Resolute PB,8,#VALUE!,06/29/2015,01:00 PM,03:30 PM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Claims 100,RPB1006,Resolute PB,8,#VALUE!,06/29/2015,08:00 AM,11:00 AM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Claims 100,RPB1006,Resolute PB,8,#VALUE!,06/29/2015,01:00 PM,04:00 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,Front Desk/HOD Desk 100,AMB1000,Cadence,24,CT3,06/29/2015,08:00 AM,05:00 PM,SLH, Plaza B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Surgical Physcian 100,AMB1014,EpicCare Ambulatory,10,#VALUE!,06/30/2015,06:00 PM,10:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,12,CT4,06/30/2015,08:00 AM,05:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Template Builder,AMB1006,Cadence,12,CT5,06/30/2015,07:00 AM,12:30 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,12,#VALUE!,06/30/2015,01:00 PM,05:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,12,#VALUE!,06/30/2015,06:00 PM,10:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,20,CT6,06/30/2015,08:00 AM,05:00 PM,SLN, Training Room C," 5800 NW Barry Road, Kansas City MO 64154",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,24,CT3,06/30/2015,08:00 AM,05:00 PM,SLH, Plaza B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Surgical Physcian 100,AMB1014,EpicCare Ambulatory,12,#VALUE!,07/01/2015,06:00 PM,10:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,24,#VALUE!,07/01/2015,01:00 PM,05:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,24,#VALUE!,07/01/2015,06:00 PM,10:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Nurse 100,AMB1024,EpicCare Ambulatory,24,#VALUE!,07/01/2015,01:00 PM,05:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory LPN and MA 100,AMB1026,EpicCare Ambulatory,24,#VALUE!,07/01/2015,06:00 PM,10:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,20,CT6,07/01/2015,08:00 AM,05:00 PM,SLN, Training Room C," 5800 NW Barry Road, Kansas City MO 64154",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,24,CT3,07/01/2015,08:00 AM,05:00 PM,SLH, Plaza B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/02/2015,08:00 AM,12:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/02/2015,01:00 PM,05:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,12,CT4,07/02/2015,08:00 AM,05:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,12,CT5,07/02/2015,08:00 AM,05:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
